,treatment,treatment_time,passage_name,mean,sd,non_na_count,ic50
1,HBSS,Fresh,Passage 1,-0.750107307,2.032352518,4,3.093
3,HBSS,One_day,Passage 1,-1.76605104,1.880939136,4,2.981
5,HBSS,Two_day,Passage 1,-1.380669828,2.228723932,3,2.98
7,UW,Fresh,Passage 1,-2.514956436,1.389065057,4,3.201
9,UW,One_day,Passage 1,-1.047777766,1.589841211,3,2.811
11,UW,Two_day,Passage 1,-1.862523244,0.419262272,3,3.148
13,HTK,Fresh,Passage 1,-1.574959874,0.606547998,3,3.06
15,HTK,One_day,Passage 1,0.049431994,1.764561892,4,2.913
17,HTK,Two_day,Passage 1,-2.882063368,1.039828896,4,2.743
2,HBSS,Fresh,Passage 6,0.260210079,1.423546173,5,3.585
4,HBSS,One_day,Passage 6,-0.289092152,1.727779056,3,4.122
6,HBSS,Two_day,Passage 6,0.461435343,1.693715139,5,3.312
8,UW,Fresh,Passage 6,-0.154841375,1.375329914,5,3.4
10,UW,One_day,Passage 6,0.471851437,1.831644435,5,3.486
12,UW,Two_day,Passage 6,0.455314713,1.254911323,5,3.374
14,HTK,Fresh,Passage 6,0.560597221,1.57937207,5,3.617
16,HTK,One_day,Passage 6,-0.404739424,1.557882947,5,3.215
18,HTK,Two_day,Passage 6,0.828876026,0.532520119,4,3.584